Week,Date,Day,Pillar,Angle,Platform Notes
1,Apr 29,Wed,Authority,The Morning Difference,Long-form FB/LinkedIn
1,Apr 30,Thu,Reality Exposure,Casual Use Is Not a Strategy,Short punchy — all platforms
1,May 1,Fri,Authority,Why I Chose One Tool,FB/LinkedIn + short IG caption
1,May 2,Sat,Reality Exposure,The 5% Problem,All platforms — video candidate
1,May 3,Sun,Trust Bridge,I Know What Your Week Looks Like,Long-form FB + IG caption version
2,May 5,Tue,Authority,What $32M Taught Me About Systems,LinkedIn lead + FB share
2,May 6,Wed,Reality Exposure,Free Content Math,All platforms
2,May 7,Thu,Trust Bridge,The Hustle Ceiling,Long-form FB + IG caption
2,May 8,Fri,Conviction,What $495 Is Really Buying,All platforms — direct CTA to link
2,May 9,Sat,Conviction,May 23 Is a Specific Day,EARLY BIRD DEADLINE — CTA across all platforms
2,May 11,Mon,Reality Exposure,The Competition Isn't Waiting,Short form — all platforms
3,May 12,Tue,Authority,The Instructor Standard,LinkedIn + FB
3,May 13,Wed,Trust Bridge,What Keeps People from the Room,All platforms — conversational tone
3,May 14,Thu,Reality Exposure,The 5% Problem,Repurpose as reel or carousel
3,May 15,Fri,Conviction,The People Who Figure This Out First,FB/LinkedIn long-form
3,May 16,Sat,Trust Bridge,The Permission You're Waiting For,Short direct — all platforms
3,May 18,Mon,Conviction,Two Kinds of May 24,All platforms
4,May 19,Tue,Conviction,Two Kinds of May 24,Short video or reel format
4,May 20,Wed,Authority,Behind the scenes — what's being prepped for the room,Stories/Reels
4,May 21,Thu,Conviction,May 23 Is a Specific Day — final seats,All platforms — straight close
4,May 22,Fri,Trust Bridge,The Permission You're Waiting For — last call,Zero pressure quiet close
